,Date,Name,Price,RSI,MarketCap,Volume,URL
185,20200820,digibyte,0.032355,58.487188161648035,"$429,674,082 USD","$13,285,089 USD",https://coinmarketcap.com/currencies/digibyte/historical-data/?start=20200501&end=20200820
53,20200820,terra-luna,0.514732,58.526159698171064,"$193,387,980 USD","$13,076,696 USD",https://coinmarketcap.com/currencies/terra-luna/historical-data/?start=20200501&end=20200820
30,20200820,telcoin,0.000342,58.781944352148415,"$15,086,803 USD","$335,074 USD",https://coinmarketcap.com/currencies/telcoin/historical-data/?start=20200501&end=20200820
149,20200820,populous,0.399945,58.79581319924206,"$22,535,989 USD","$1,241,616 USD",https://coinmarketcap.com/currencies/populous/historical-data/?start=20200501&end=20200820
31,20200820,zel,0.046439,58.828119315937805,"$5,208,407 USD","$1,986,151 USD",https://coinmarketcap.com/currencies/zel/historical-data/?start=20200501&end=20200820
167,20200820,iotex,0.008756,58.8448312111784,"$43,027,399 USD","$3,854,880 USD",https://coinmarketcap.com/currencies/iotex/historical-data/?start=20200501&end=20200820
6,20200820,suterusu,0.01115,58.89725936561956,"$12,970,422 USD","$2,059,470 USD",https://coinmarketcap.com/currencies/suterusu/historical-data/?start=20200501&end=20200820
129,20200820,dapp-token,0.00161,58.97232153026685,No Data,"$324,159 USD",https://coinmarketcap.com/currencies/dapp-token/historical-data/?start=20200501&end=20200820
188,20200820,achain,0.009146,58.99386705694776,"$9,683,562 USD","$15,657,890 USD",https://coinmarketcap.com/currencies/achain/historical-data/?start=20200501&end=20200820
119,20200820,ankr,0.012784,59.01994142053003,"$73,463,405 USD","$14,475,379 USD",https://coinmarketcap.com/currencies/ankr/historical-data/?start=20200501&end=20200820
18,20200820,quarkchain,0.00915,59.07581328993723,"$19,350,794 USD","$3,402,564 USD",https://coinmarketcap.com/currencies/quarkchain/historical-data/?start=20200501&end=20200820
9,20200820,arpa-chain,0.041517,59.358398837573475,"$34,695,729 USD","$14,864,275 USD",https://coinmarketcap.com/currencies/arpa-chain/historical-data/?start=20200501&end=20200820
